name	acc	count
1.10.238.10/FF/24874	1.10.238.10/FF/24874	4
1.10.238.10/FF/32365	1.10.238.10/FF/32365	1
1.10.238.10/FF/32761	1.10.238.10/FF/32761	5
1.10.238.110/FF/92	1.10.238.110/FF/92	4
1.10.245.10/FF/141	1.10.245.10/FF/141	2
1.10.245.10/FF/250	1.10.245.10/FF/250	12
1.10.245.10/FF/435	1.10.245.10/FF/435	15
1.10.245.10/FF/857	1.10.245.10/FF/857	18
1.10.245.10/FF/882	1.10.245.10/FF/882	7
1.10.245.10/FF/883	1.10.245.10/FF/883	13
1.10.246.10/FF/1120	1.10.246.10/FF/1120	3
1.10.246.20/FF/456	1.10.246.20/FF/456	7
1.10.246.20/FF/463	1.10.246.20/FF/463	8
1.10.260.40/FF/47062	1.10.260.40/FF/47062	9
1.10.260.40/FF/47131	1.10.260.40/FF/47131	25
1.10.268.10/FF/2955	1.10.268.10/FF/2955	9
1.10.268.10/FF/3069	1.10.268.10/FF/3069	7
1.10.287.1070/FF/1	1.10.287.1070/FF/1	17
1.10.287.1070/FF/11	1.10.287.1070/FF/11	11
1.10.287.1070/FF/14	1.10.287.1070/FF/14	11
1.10.287.1080/FF/2429	1.10.287.1080/FF/2429	1
1.10.287.110/FF/10404	1.10.287.110/FF/10404	8
1.10.287.110/FF/10680	1.10.287.110/FF/10680	7
1.10.287.110/FF/11549	1.10.287.110/FF/11549	2
1.10.287.110/FF/12019	1.10.287.110/FF/12019	2
1.10.287.110/FF/12103	1.10.287.110/FF/12103	2
1.10.287.110/FF/14241	1.10.287.110/FF/14241	6
1.10.287.110/FF/14242	1.10.287.110/FF/14242	17
1.10.287.110/FF/14255	1.10.287.110/FF/14255	4
1.10.287.110/FF/14259	1.10.287.110/FF/14259	15
1.10.287.110/FF/14291	1.10.287.110/FF/14291	2
1.10.287.110/FF/14330	1.10.287.110/FF/14330	8
1.10.287.110/FF/1434	1.10.287.110/FF/1434	1
1.10.287.110/FF/14356	1.10.287.110/FF/14356	15
1.10.287.110/FF/14357	1.10.287.110/FF/14357	14
1.10.287.110/FF/14406	1.10.287.110/FF/14406	3
1.10.287.110/FF/14410	1.10.287.110/FF/14410	11
1.10.287.110/FF/14473	1.10.287.110/FF/14473	6
1.10.287.110/FF/14533	1.10.287.110/FF/14533	9
1.10.287.110/FF/14563	1.10.287.110/FF/14563	15
1.10.287.110/FF/14580	1.10.287.110/FF/14580	9
1.10.287.110/FF/14599	1.10.287.110/FF/14599	15
1.10.287.110/FF/14605	1.10.287.110/FF/14605	11
1.10.287.110/FF/14606	1.10.287.110/FF/14606	13
1.10.287.110/FF/14608	1.10.287.110/FF/14608	14
1.10.287.110/FF/14625	1.10.287.110/FF/14625	11
1.10.287.110/FF/14627	1.10.287.110/FF/14627	8
1.10.287.110/FF/14628	1.10.287.110/FF/14628	10
1.10.287.110/FF/14635	1.10.287.110/FF/14635	13
1.10.287.110/FF/14637	1.10.287.110/FF/14637	13
1.10.287.110/FF/14639	1.10.287.110/FF/14639	13
1.10.287.110/FF/14645	1.10.287.110/FF/14645	14
1.10.287.110/FF/14650	1.10.287.110/FF/14650	12
1.10.287.110/FF/14658	1.10.287.110/FF/14658	15
1.10.287.110/FF/14661	1.10.287.110/FF/14661	14
1.10.287.110/FF/14662	1.10.287.110/FF/14662	13
1.10.287.110/FF/14663	1.10.287.110/FF/14663	13
1.10.287.110/FF/14677	1.10.287.110/FF/14677	7
1.10.287.110/FF/14698	1.10.287.110/FF/14698	9
1.10.287.110/FF/14705	1.10.287.110/FF/14705	10
1.10.287.110/FF/14735	1.10.287.110/FF/14735	10
1.10.287.110/FF/14736	1.10.287.110/FF/14736	13
1.10.287.110/FF/14744	1.10.287.110/FF/14744	10
1.10.287.110/FF/14745	1.10.287.110/FF/14745	9
1.10.287.110/FF/14746	1.10.287.110/FF/14746	17
1.10.287.110/FF/14747	1.10.287.110/FF/14747	14
1.10.287.110/FF/14749	1.10.287.110/FF/14749	11
1.10.287.110/FF/14758	1.10.287.110/FF/14758	10
1.10.287.110/FF/14766	1.10.287.110/FF/14766	16
1.10.287.110/FF/14770	1.10.287.110/FF/14770	2
1.10.287.110/FF/14776	1.10.287.110/FF/14776	11
1.10.287.110/FF/14777	1.10.287.110/FF/14777	6
1.10.287.110/FF/14778	1.10.287.110/FF/14778	8
1.10.287.110/FF/14779	1.10.287.110/FF/14779	9
1.10.287.110/FF/14785	1.10.287.110/FF/14785	11
1.10.287.110/FF/14791	1.10.287.110/FF/14791	9
1.10.287.110/FF/14797	1.10.287.110/FF/14797	4
1.10.287.110/FF/14798	1.10.287.110/FF/14798	14
1.10.287.110/FF/14807	1.10.287.110/FF/14807	16
1.10.287.110/FF/1686	1.10.287.110/FF/1686	10
1.10.287.110/FF/1757	1.10.287.110/FF/1757	8
